MDB,Sovereign / Non-sovereign ,Project name,Project ID,Approval date,Approval year,Country,World Bank Income Level,Investment instrument,Sector (general),Total commitment ($ million),Mitigation sector,Adaptation sector,"Type (mitigation, adaptation or dual-use)",Climate finance ($ million),Mitigation ($ million),Adaptation ($ million),Dual-use ($ million),Climate finance percentage,Source
Asian Development Bank,Sovereign,Support to Southwest Area Integrated Water Resources Planning and Management Project – Additional Financing,34418-024,28/12/2021,2021,Bangladesh,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",1,,,Adaptation,1,1,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Uttarakhand Integrated and Resilient Urban Development Project,38272-044,07/12/2021,2021,India,Lower middle income,Loan,Water and other urban infrastructure and services,157.25,,,Dual-use,73.13,16.49,56.64,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Enhancing Climate Resilience in Uttarakhand Urban Development (attached TA to Uttarakhand Integrated and Resilient Urban Development Project),38272-044,31/12/2021,2021,India,Lower middle income,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.75,0.75,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Enhancing Climate Resilience in Uttarakhand Urban Development (attached TA to Uttarakhand Integrated and Resilient Urban Development Project),38272-044,31/12/2021,2021,India,Lower middle income,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.25,0.25,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Uttarakhand Integrated and Resilient Urban Development Project - Additional Financing,38272-045,13/12/2023,2023,India,Lower middle income,Loan,Water and other urban infrastructure and services,254,,,Dual-use,121.55,78.69,42.86,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2",40540-016,30/05/2023,2023,Bangladesh,Lower middle income,Technical assistance,Transport,1,,,Mitigation,0.2,0.2,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2",40540-016,05/12/2023,2023,Bangladesh,Lower middle income,Technical assistance,Transport,,,,Mitigation,0,,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2 (Tranche 3)",40540-019,28/11/2023,2023,Bangladesh,Lower middle income,Loan,Transport,461.5,,,Adaptation,38.5,,38.5,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Small and Medium-Sized Enterprises Development Program (Subprogram 2),42007-021,07/12/2023,2023,Uzbekistan,Lower middle income,Loan,Education,100,,,Mitigation,4.43,4.43,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Small and Medium-Sized Enterprises Development Program (Subprogram 2),42007-021,07/12/2023,2023,Uzbekistan,Lower middle income,Loan,Finance,,,,Mitigation,7,7,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Small and Medium-Sized Enterprises Development Program (Subprogram 2),42007-021,07/12/2023,2023,Uzbekistan,Lower middle income,Loan,Industry and trade,,,,Mitigation,10,10,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Greater Dhaka Sustainable Urban Transport Project - Additional Financing,42169-024,26/12/2022,2022,Bangladesh,Lower middle income,Loan,Transport,222.75,,,Dual-use,60.25,0.07,60.18,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,42173-016,01/03/2022,2022,Bangladesh,Lower middle income,Loan,Water and other urban infrastructure and services,430,,,Dual-use,19.37,7.08,12.29,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,42173-016,01/03/2022,2022,Bangladesh,Lower middle income,Loan,Water and other urban infrastructure and services,,,,Dual-use,9.09,,9.09,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,42173-016,01/03/2022,2022,Bangladesh,Lower middle income,Grant,Water and other urban infrastructure and services,,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Dhaka Environmentally Sustainable Water Supply Project – Additional Financing,42173-016,01/03/2022,2022,Bangladesh,Lower middle income,Loan,Water and other urban infrastructure and services,,,,Dual-use,45.52,35.89,9.63,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Water Flagship Program Support Project,42173-017,14/12/2022,2022,Bhutan,Lower middle income,Loan,Water and other urban infrastructure and services,23.8,,,Adaptation,1.98,,1.98,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Water Flagship Program Support Project,42173-017,14/12/2022,2022,Bhutan,Lower middle income,Loan,"Agriculture, natural resources and rural development",,,,Adaptation,4.62,,4.62,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Water Flagship Program Support Project,42173-017,14/12/2022,2022,Bhutan,Lower middle income,Grant,Water and other urban infrastructure and services,,,,Adaptation,1.3,,1.3,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Water Flagship Program Support Project,42173-017,14/12/2022,2022,Bhutan,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,2.8,,2.8,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Water Flagship Program Support Project,42173-017,14/12/2022,2022,Bhutan,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,1.5,,1.5,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Third Public-Private Infrastructure Development Facility-Tranche 2,42180-019,26/12/2022,2022,Bangladesh,Lower middle income,Loan,Finance,695.725,,,Dual-use,41.58,15.35,26.23,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Third Public-Private Infrastructure Development Facility-Tranche 2,42180-019,26/12/2022,2022,Bangladesh,Lower middle income,Loan,Finance,,,,Dual-use,12.8,11.2,1.6,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Promoting Smart and Integrated Urban Planning for Livability and Cultural Economy in Rajasthan,42267-032,16/11/2021,2021,India,Lower middle income,Technical assistance,Water and other urban infrastructure and services,0.75,,,Dual-use,0.063,0.035,0.028,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Promoting Smart and Integrated Urban Planning for Livability and Cultural Economy in Rajasthan,42267-032,01/03/2023,2023,India,Lower middle income,Technical assistance cofinancing,Water and other urban infrastructure and services,0.85,,,Dual-use,0.3,0.2,0.1,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Rajasthan Secondary Towns Development Sector Project - Additional Financing,42267-034,27/07/2023,2023,India,Lower middle income,Loan,Water and other urban infrastructure and services,299.8,,,Dual-use,122.8,44.75,78.05,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Flood and Riverbank Erosion Risk Management Investment Program - Tranche 2,44167-015,01/03/2022,2022,Bangladesh,Lower middle income,Loan,"Agriculture, natural resources and rural development",212.8,,,Adaptation,47.402,,47.402,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Flood and Riverbank Erosion Risk Management Investment Program - Tranche 2,44167-015,01/03/2022,2022,Bangladesh,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,"Inclusive Financial Sector Development Program, Subprogram 3",44263-016,08/12/2021,2021,Cambodia,Lower middle income,Loan,Finance,40,,,Dual-use,5.97,4.74,1.23,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Climate Resilient Rice Commercialization Sector Development Program (Additional Financing),44321-014,24/03/2022,2022,Cambodia,Lower middle income,Grant,"Agriculture, natural resources and rural development",3.92,,,Adaptation,0.4,,0.4,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Nonsovereign,Microinsurance for Climate Change and Disaster Resilience: Capacity Building and Implementation Support,44934-031,15/09/2021,2021,Regional,Regional,Technical assistance,Finance,1.5,,,Mitigation,1.5,,1.5,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Irrigation Management Improvement Project - Additional Financing,45207-006,23/12/2021,2021,Bangladesh,Lower middle income,Loan,"Agriculture, natural resources and rural development",14.63,,,Dual-use,6.4,4,2.4,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Integrated Social Protection Development Program,45233-007,10/12/2021,2021,Pakistan,Lower middle income,Loan,Public sector management,6327,,,Adaptation,17.5,17.5,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Integrated Social Protection Development Program,45233-007,10/12/2021,2021,Pakistan,Lower middle income,Loan,Health,,,,Adaptation,6.25,6.25,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Integrated Social Protection Development Program,45233-007,10/12/2021,2021,Pakistan,Lower middle income,Loan,Education,,,,Adaptation,7.75,7.75,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Integrated Social Protection Development Program,45233-007,10/12/2021,2021,Pakistan,Lower middle income,Grant,Public sector management,,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Integrated Social Protection Development Program,45233-007,10/12/2021,2021,Pakistan,Lower middle income,Grant,Public sector management,,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Davao Public Transport Modernization Project,45296-006,01/07/2023,2023,Philippines,Lower middle income,Loan,Transport,1711.78,,,Dual-use,1014.69,1013.27,1.42,,,Climate Change Financing at ADB - 2023
